 DoctorID, Doctor first name, Doctor last name, Doctor middle name,Primary  specialty code,Primary  specialty description,Secondary specialty code,Secondary specilaty description, Doctor state, Doctor state code, Doctor zip
459962,Nbbbbbb,Aiiiii,Dbbbb,N,NEUROLOGY,SM,SLEEP MEDICINE,NORTH CAROLINA,NC,27514
355210,Huuu,Dddddddd,Uiiiiii,HO,HEMATOLOGY/ONCOLOGY,HEM,HEMATOLOGY (INTERNAL MEDICINE),OREGON,OR,97330
523755,Lccc,Ymmmm,Pzzz,MPD,INTERNAL MEDICINE/PEDIATRICS,PD,PEDIATRICS,MARYLAND,MD,20707
20706998,Qnnnn,Tzzz,Qvvvvvvv,HO,HEMATOLOGY/ONCOLOGY,ON,MEDICAL ONCOLOGY,NEW YORK,NY,11772
325889,Bqqqqqq,Mnnnnnnnn,Uqq,NEP,NEPHROLOGY,,,PENNSYLVANIA,PA,19141
566422,Ziiii,Bbbb,Yppppp,PD,PEDIATRICS,,,OREGON,OR,97015
2227715,Vpppppp,Naaaaaa,Hoooooo,PDE,PEDIATRIC ENDOCRINOLOGY,PD,PEDIATRICS,NEW JERSEY,NJ,7450
526371,Sfffff,Gnnnnn,Moooo,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",IM,INTERNAL MEDICINE,,,
570663,Sjjjj,Vuu,Kvvvv,DEN,DENTISTRY,,,ARIZONA,AZ,85212
572377,Gtttttt,Peeeee,Pxxxxx,RHU,RHEUMATOLOGY,IM,INTERNAL MEDICINE,HAWAII,HI,96753
2028977,Dtttttt,Ioooooooo,Aiiii,PD,PEDIATRICS,HOS,HOSPITALIST,DELAWARE,DE,19803
5402,Plllll,Mppppp,Wjj,PD,PEDIATRICS,ADU,ADULT HEALTH (NURSE PRACTITIONERS),CALIFORNIA,CA,94143
20446876,Lbbbbbbb,Exxxxxxx,Goooooo,NEP,NEPHROLOGY,,,CALIFORNIA,CA,94115
20908936,Smmmmm,Zvvvvvvvvvvvv,Lyyyyyy,D,DERMATOLOGY,IM,INTERNAL MEDICINE,NEW YORK,NY,14607
2190679,Vqqqqqq,Bbbbbbb,Ylll,EM,EMERGENCY MEDICINE,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",MAINE,ME,4074
24060216,Urrrr,Fffffff,Uqqq,PN,PEDIATRIC NEPHROLOGY,IM,INTERNAL MEDICINE,MARYLAND,MD,21201
374190,Zbbbbbbbb,Appppppp,U,PD,PEDIATRICS,,,WASHINGTON,WA,98108
407095,Jhhh,Qnnn,  ,PCC,PULMONARY CARE CRITICAL MEDICINE,IM,INTERNAL MEDICINE,TEXAS,TX,77024
425569,Jwwww,Niiiii,Gcccccc,PCC,PULMONARY CARE CRITICAL MEDICINE,IM,INTERNAL MEDICINE,COLORADO,CO,80206
899348,Cooooo,Gcc,Pqq,RO,RADIATION ONCOLOGY,,,INDIANA,IN,47303
1193919,Reeee,Tttttttt,Tnnnnn,PD,PEDIATRICS,A,ALLERGY,MARYLAND,MD,20889
1354503,Gwww,Bjjjj,Svvvv,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",IM,INTERNAL MEDICINE,WASHINGTON,WA,98801
23435570,Yyyy,Avvvvv,Hmmm,NEP,NEPHROLOGY,,,TEXAS,TX,77090
390246,Iqqq,Vfffffffff,Riiiii,HO,HEMATOLOGY/ONCOLOGY,IM,INTERNAL MEDICINE,FLORIDA,FL,34695
402808,Byyyyy,Cvvvvvvvvvv,Uz,ON,MEDICAL ONCOLOGY,GP,GENERAL PRACTICE,PENNSYLVANIA,PA,17822
562477,Gwww,Oiiiiiiiiii,Edddd,,,,,NEW YORK,NY,14127
876576,Doooo,Niiiii,All,GP,GENERAL PRACTICE,,,IOWA,IA,50266
1321907,Tkkkkkk,Cqqqq,Ojjjj,NEP,NEPHROLOGY,IM,INTERNAL MEDICINE,MAINE,ME,4240
1902010,Rkkkk,Iccccc,V,,,,,CONNECTICUT,CT,6105
21618764,Gmmmmm,Niii,Cwwwwwwww,ASO,ADVANCED SURGICAL ONCOLOGY,GS,GENERAL SURGERY,OREGON,OR,97239
20448842,Beee,Fhhhhhh,  ,HO,HEMATOLOGY/ONCOLOGY,ON,MEDICAL ONCOLOGY,MICHIGAN,MI,48066
21018388,Muuu,Gnnnn,D,FM,FAMILY MEDICINE,FM,FAMILY MEDICINE,VIRGINIA,VA,23708
348285,Qvvvv,Xwwwww,Z,GP,GENERAL PRACTICE,,,PENNSYLVANIA,PA,15601
105253,Thhhhh,Xddddddddd,V,,,,,MASSACHUSETTS,MA,1603
1555754,Qkkkkkk,Ryyy,Beeee,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",IM,INTERNAL MEDICINE,NEW YORK,NY,13601
1972704,Ceeeee,Ruuuuuuuu,Xggg,GE,GASTROENTEROLOGY,IM,INTERNAL MEDICINE,CALIFORNIA,CA,95403
316836,Uqqqq,Scccc,Grrrrr,PM,PHYSICAL MEDICINE AND REHABILITATION,PD,PEDIATRICS,WEST VIRGINIA,WV,26003
638214,Jbbbb,Oiiii,Epppp,PDE,PEDIATRIC ENDOCRINOLOGY,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",MINNESOTA,MN,55404
458778,Yeeeee,Qxxxxx,D,IM,INTERNAL MEDICINE,FM,FAMILY MEDICINE,MISSOURI,MO,65742
620100,Beeeeee,Zdddd,Bqqqqqq,RHU,RHEUMATOLOGY,A,ALLERGY,COLORADO,CO,80230
2282464,Epp,Hzzzzzz,Baaaaa,ADU,ADULT HEALTH (NURSE PRACTITIONERS),,,RHODE ISLAND,RI,2905
666884,Cyyyyy,Crrrrrrrr,Ydddddd,OPT,OPTOMETRY,,,VIRGINIA,VA,23452
1660301,Jmmm,Ssssss,Soo,N,NEUROLOGY,,,,,
19587191,Gfff,Jppppp,  ,,,,,DELAWARE,DE,19713
984798,Raaa,Axxxxx,  ,,,,,NEBRASKA,NE,68847
2037590,Fiiii,Vzzzzzzzz,Uvvvvvv,FM,FAMILY MEDICINE,,,NEW YORK,NY,10065
24132667,Uvvvvvv,Nnnnnnnn,Wjjjjjjj,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",IM,INTERNAL MEDICINE,MAINE,ME,4074
389863,Ahhh,Zgggg,B,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",,,ILLINOIS,IL,60077
54124194,Essss,Nggggg,Lgggg,PDE,PEDIATRIC ENDOCRINOLOGY,PD,PEDIATRICS,OREGON,OR,97227
583182,Ioooooo,Cssssssss,Cqqq,FM,FAMILY MEDICINE,PMM,SPORTS MEDICINE(PHYSICAL MED AND REHAB),NEBRASKA,NE,68522
21613716,Eyyyyyy,Sqqqqqq,Hxxx,PD,PEDIATRICS,,,ILLINOIS,IL,61607
1148225,Rxxxx,Wddddddddd,Rffff,FM,FAMILY MEDICINE,PD,PEDIATRICS,MICHIGAN,MI,48322
318880,Iffff,Jggg,Clll,HEM,HEMATOLOGY (INTERNAL MEDICINE),ON,MEDICAL ONCOLOGY,NORTH CAROLINA,NC,27705
40738383,Ycccccc,Ipppppppp,Rmmmmm,P,PSYCHIATRY,DEN,DENTISTRY,NEW YORK,NY,10605
201069,Tvvvvv,Dtttt,Cii,GO,GYNECOLOGICAL ONCOLOGY,IM,INTERNAL MEDICINE,KANSAS,KS,66204
30603264,Tggg,Qtttt,Pttttt,FM,FAMILY MEDICINE,,,COLORADO,CO,81432
536533,Ouuuuu,Fggggg,Yyyy,PD,PEDIATRICS,,,VERMONT,VT,5201
897799,Wjjjj,Epppppp,Uzzzzzzz,IM,INTERNAL MEDICINE,HOS,HOSPITALIST,NORTH CAROLINA,NC,28262
1225284,Vjjjjj,Raa,Fpp,GP,GENERAL PRACTICE,HOM,HOMEOPATHY,INDIANA,IN,46032
1406012,Glllllll,Hlllllll,N,IM,INTERNAL MEDICINE,NEP,NEPHROLOGY,PENNSYLVANIA,PA,16735
214676,Mqqqqqq,Njj,Kffffffff,AN,ANESTHESIOLOGY,PMD,PAIN MEDICINE,ILLINOIS,IL,62864
28176049,Cgggg,Prrrrr,Cxxxxx,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",,,NEW JERSEY,NJ,7675
32932319,Euuu,Mkkkk,Aiiiiiii,ON,MEDICAL ONCOLOGY,IM,INTERNAL MEDICINE,TEXAS,TX,79902
408696,Lbbbbb,Bccccc,L,D,DERMATOLOGY,,,ILLINOIS,IL,60062
12791,Krrr,Pnnnnnnnnn,Eqqqqqq,RHU,RHEUMATOLOGY,,,WISCONSIN,WI,53581
23107605,Nxxx,Wbbbbb,Mvvvv,FM,FAMILY MEDICINE,IM,INTERNAL MEDICINE,FLORIDA,FL,33909
520131,Tuuu,Fiiiiiiii,Maaaa,AN,ANESTHESIOLOGY,,,WEST VIRGINIA,WV,24701
1145831,Wmmmmm,Nttttttttt,R,ON,MEDICAL ONCOLOGY,ADU,ADULT HEALTH (NURSE PRACTITIONERS),OHIO,OH,45242
1654967,Vuuuu,Uvvvvvvv,Buuuuuu,GE,GASTROENTEROLOGY,IM,INTERNAL MEDICINE,NEW JERSEY,NJ,7105
570987,Mhhhhhh,Nqqqqqqqqq,Mffffff,FPS,FACIAL PLASTIC SURGERY,PSH,PLASTIC SURGERY WITHIN THE HEAD AND NECK,FLORIDA,FL,33629
1294655,Zccccccc,Aooooo,Ussssss,IM,INTERNAL MEDICINE,,,WASHINGTON,WA,98104
19538206,Dlllll,Rfffff,Ellll,ORS,ORTHOPEDIC SURGERY,,,TEXAS,TX,77026
5660590,Abbbb,Hllll,  ,PM,PHYSICAL MEDICINE AND REHABILITATION,,,NEW YORK,NY,10021
20901670,Ueee,Moooooo,T,PD,PEDIATRICS,,,NEW YORK,NY,11757
212886,Rmmmm,Pbbb,G,OBG,OBSTETRICS AND GYNECOLOGY,MID,MIDWIFERY (CNMS),ILLINOIS,IL,61614
25296437,Drrr,Eyyyyyyyy,  ,IM,INTERNAL MEDICINE,D,DERMATOLOGY,NEW YORK,NY,10021
336540,Auuuuu,Innnnnn,Jyyyy,FM,FAMILY MEDICINE,OM,OCCUPATIONAL MEDICINE,INDIANA,IN,46714
514371,Icc,Jwwww,  ,IM,INTERNAL MEDICINE,,,CALIFORNIA,CA,94706
202816,Dkkk,Gxxxx,M,IMG,GERIATRIC MEDICINE (INTERNAL MEDICINE),,,,,
214327,Ryyyyyyy,Offfff,  ,CCM,CRITICAL CARE MEDICINE (INTERNAL MED),GP,GENERAL PRACTICE,TEXAS,TX,78541
5653881,Tffffff,Gtttttttt,Hxxxxxxxx,CD,CARDIOVASCULAR DISEASE,,,GEORGIA,GA,30097
2040978,Rmmmmm,Wcccccccc,Nxx,IM,INTERNAL MEDICINE,,,CALIFORNIA,CA,90808
605862,Affffffff,Vyyyyy,Hssssss,FM,FAMILY MEDICINE,OBS,OBSTETRICS,MASSACHUSETTS,MA,1605
19942629,Cnn,Ummmmm,Kjjjj,GP,GENERAL PRACTICE,PHP,PUBLIC HEALTH AND GENERAL PREVENTIVE MEDICINE,OHIO,OH,44117
471293,Dpppp,Uoooooooo,Mbbbbbb,EM,EMERGENCY MEDICINE,,,MASSACHUSETTS,MA,2360
1183607,Uffffff,Hooooooo,Qeeee,EM,EMERGENCY MEDICINE,PD,PEDIATRICS,ILLINOIS,IL,60614
1670247,Kqqqqqqq,Qeeeeeee,X,GS,GENERAL SURGERY,VS,VASCULAR SURGERY,NEW YORK,NY,11201
203120,Hdddddd,Qggggg,Mxxxxx,FM,FAMILY MEDICINE,,,COLORADO,CO,80026
206704,Mxxxxxxxx,Afffff,Zlll,P,PSYCHIATRY,,,CALIFORNIA,CA,94590
1577996,Hjjjj,Zaaaa,Oiiii,IM,INTERNAL MEDICINE,CD,CARDIOVASCULAR DISEASE,CALIFORNIA,CA,93240
1998495,Nggggg,Vccccccccc,I,OBG,OBSTETRICS AND GYNECOLOGY,GP,GENERAL PRACTICE,ILLINOIS,IL,60623
20069866,Aeeeeee,Kuuuuuuuu,C,IM,INTERNAL MEDICINE,OM,OCCUPATIONAL MEDICINE,FLORIDA,FL,33477
23106150,Wwwwwww,Gooooooo,Skkkk,GS,GENERAL SURGERY,,,PENNSYLVANIA,PA,16830
1022295,Giiiii,Lnnnnnn,Mjjjjj,PS,PLASTIC SURGERY,HS,HAND SURGERY,CALIFORNIA,CA,94566
220651,Mpppp,Jyyyyyyyy,Rqqqq,D,DERMATOLOGY,DMP,DERMATOPATHOLOGY,MAINE,ME,4102
1532711,Iwwww,Sccccccccccccc,G,GP,GENERAL PRACTICE,,,PUERTO RICO,PR,693
428788,Utttttt,Kuuuuu,  ,IM,INTERNAL MEDICINE,,,LOUISIANA,LA,70001
548645,Hkkkk,Jggggg,Vkkk,OTO,OTOLARYNGOLOGY,FPS,FACIAL PLASTIC SURGERY,TEXAS,TX,78852
37479265,Hvvv,Ogggggg,Pssssssss,GYN,GYNECOLOGY,OBG,OBSTETRICS AND GYNECOLOGY,MICHIGAN,MI,48109
441572,Jlllll,Cllllllllll,Owwwwww,PD,PEDIATRICS,,,VIRGINIA,VA,23693
1316753,Mpppppp,Huuuuuuu,Jssss,IM,INTERNAL MEDICINE,CD,CARDIOVASCULAR DISEASE,MICHIGAN,MI,48034
2197808,Uppp,Zvvvv,Rgggg,FM,FAMILY MEDICINE,SMI,SLEEP MEDICINE (INTERNAL MEDICINE),LOUISIANA,LA,70002
443746,Khhhhh,Cqqq,Bqqqqqq,FM,FAMILY MEDICINE,AMD,ADMINISTRATIVE MEDICINE,INDIANA,IN,46037
1468630,Bt,Jtt,Duuu,PS,PLASTIC SURGERY,OTO,OTOLARYNGOLOGY,TEXAS,TX,75235
216972,Zoooo,Szz,Uaaa,IM,INTERNAL MEDICINE,,,CALIFORNIA,CA,90033
300123,Zooooo,Vyyy,  ,FM,FAMILY MEDICINE,PD,PEDIATRICS,FLORIDA,FL,33012
520365,Sssss,Rwwwww,Vppppppp,IM,INTERNAL MEDICINE,,,LOUISIANA,LA,70546
1452187,Efffff,Yzzzzzzz,Zjjjj,RHU,RHEUMATOLOGY,IM,INTERNAL MEDICINE,FLORIDA,FL,33607
1312949,Tlll,Uuuuu,Iuuu,D,DERMATOLOGY,FM,FAMILY MEDICINE,ARIZONA,AZ,85364
4201,Tnnnnnn,Yhhhh,Looooooo,PPR,PEDIATRIC RHEUMATOLOGY,PD,PEDIATRICS,PENNSYLVANIA,PA,15237
1641398,Nffffffff,Pdddddddddddd,Y,IM,INTERNAL MEDICINE,GP,GENERAL PRACTICE,ARKANSAS,AR,72021
30400311,Mkkkkk,Dttt,Idddddd,IM,INTERNAL MEDICINE,,,ARKANSAS,AR,71635
212577,Foooo,Okkkkk,Qeeee,OBG,OBSTETRICS AND GYNECOLOGY,,,MISSISSIPPI,MS,38666
5772132,Rppppppp,Lkkkk,Gww,OPH,OPHTHALMOLOGY,,,FLORIDA,FL,32405
230900,Icccccc,Zcccccccc,Ayy,ORS,ORTHOPEDIC SURGERY,,,WASHINGTON,WA,98040
668548,Ejjjj,Npppppp,Rjjjj,OPH,OPHTHALMOLOGY,,,NEW JERSEY,NJ,8079
23813989,Rvvvvvv,Fqqq,Zttttt,IM,INTERNAL MEDICINE,GP,GENERAL PRACTICE,CALIFORNIA,CA,92395
24022703,Wnnnnnnn,Emmmm,  ,CD,CARDIOVASCULAR DISEASE,,,,,
987297,Gcccccc,Wsssss,Kbb,DEN,DENTISTRY,,,CALIFORNIA,CA,94301
1260095,Kbbbb,Dgggg,C,DEN,DENTISTRY,,,TEXAS,TX,75044
1279005,Kmmmmmmm,Oeeeeeeee,B,DEN,DENTISTRY,,,KENTUCKY,KY,40242
21617364,Emmm,Ieee,Smmmm,P,PSYCHIATRY,N,NEUROLOGY,DISTRICT OF COLUMBIA,DC,20020
22906143,Kzzzzz,Owwwww,Ypppp,EM,EMERGENCY MEDICINE,,,WASHINGTON,WA,98072
1252052,Vllllll,Nqq,Zmmmmm,PM,PHYSICAL MEDICINE AND REHABILITATION,PMP,PAIN MANAGEMENT(PHYSICAL MED AND REHAB),CALIFORNIA,CA,91024
1515689,Kyyyy,Aaaaaaaaa,Wlll,IM,INTERNAL MEDICINE,IMG,GERIATRIC MEDICINE (INTERNAL MEDICINE),CONNECTICUT,CT,6250
29910807,Fggggg,Ndddd,Lhhhhhhhh,PDA,PEDIATRIC ALLERGY,PHP,PUBLIC HEALTH AND GENERAL PREVENTIVE MEDICINE,,,
388936,Mrrrrrrrr,Arrrrr,Iqq,IM,INTERNAL MEDICINE,,,MAINE,ME,4102
611763,Dwwwwww,Biiiiiii,  ,PM,PHYSICAL MEDICINE AND REHABILITATION,PMP,PAIN MANAGEMENT(PHYSICAL MED AND REHAB),MASSACHUSETTS,MA,2120
19803732,Pyyy,Iddddd,D,DEN,DENTISTRY,,,FLORIDA,FL,34748
2021969,Wiiiiii,Muuu,Rccccc,DEN,DENTISTRY,,,OHIO,OH,43338
21619425,Xaaaaaa,Rkkkk,Yjjjj,FM,FAMILY MEDICINE,,,OHIO,OH,45429
25309156,Beeee,Lzzz,  ,AN,ANESTHESIOLOGY,ADM,ADDICTION MEDICINE (FAMILY PRACTICE),CALIFORNIA,CA,91709
1633551,Biiiiii,Ueeeee,Bqqqqq,OTO,OTOLARYNGOLOGY,,,TEXAS,TX,76006
19683818,Wiiii,Juuuuu,Zq,NEP,NEPHROLOGY,IM,INTERNAL MEDICINE,NEW YORK,NY,11021
20644338,Nvvv,Nwwww,T,GP,GENERAL PRACTICE,DR,DIAGNOSTIC RADIOLOGY,WEST VIRGINIA,WV,26537
335531,Sbbb,Bmmmmm,Qllll,IM,INTERNAL MEDICINE,ID,INFECTIOUS DISEASE,MAINE,ME,4856
567583,Paaaaaaaa,Iuuuuuuu,Kbbbbb,DR,DIAGNOSTIC RADIOLOGY,NRN,NEUROLGY/DIAGNSTC RADIOLGY/NEURORADIOLGY,OHIO,OH,44106
30728166,Afff,Xrrrrrr,Bvvvvvv,PCC,PULMONARY CARE CRITICAL MEDICINE,CCM,CRITICAL CARE MEDICINE (INTERNAL MED),UTAH,UT,84107
526921,Siiii,Whhhh,Dvvvvv,N,NEUROLOGY,P,PSYCHIATRY,NEW YORK,NY,10075
1259148,Xpppp,Dqqqqqqq,Olllllll,AN,ANESTHESIOLOGY,GP,GENERAL PRACTICE,CALIFORNIA,CA,92651
24019264,Ixxxxxxx,Leeeeeee,Zxxx,IM,INTERNAL MEDICINE,,,NORTH CAROLINA,NC,28277
321365,Tqqq,Yzzzzzzzzz,  ,IM,INTERNAL MEDICINE,HOS,HOSPITALIST,COLORADO,CO,80045
20311799,Hggg,Wooooo,Kfff,U,UROLOGY,,,WASHINGTON,WA,98405
1343568,Izzzzz,Vrrrrrr,Mfffff,NS,NEUROLOGICAL SURGERY,,,MICHIGAN,MI,49503
544840,Ceeeee,Icccccccc,Tppp,IM,INTERNAL MEDICINE,,,CALIFORNIA,CA,95008
10994,Xeeeeeee,Ljjjjjjj,Poooo,P,PSYCHIATRY,,,KENTUCKY,KY,40207
2057,Zmmmmm,Eeeeeeee,Vmmmmm,P,PSYCHIATRY,PYA,PSYCHOANALYSIS,,,
2332217,Znnnnn,Attttt,Aeeeeee,FM,FAMILY MEDICINE,PMD,PAIN MEDICINE,TENNESSEE,TN,37745
1214427,Srrrrrr,Zrrrr,Qcccc,PD,PEDIATRICS,,,,,
1319926,Syy,Wllllll,I,GP,GENERAL PRACTICE,,,MISSOURI,MO,63825
2345652,Diiii,Xssssssss,Ohhhhh,RHU,RHEUMATOLOGY,IM,INTERNAL MEDICINE,CALIFORNIA,CA,92103
613428,Njjjjj,Qjjjjjjj,W,DEN,DENTISTRY,,,FLORIDA,FL,33073
101,Lrrr,Mhhhhhhh,Hbbbb,FM,FAMILY MEDICINE,GP,GENERAL PRACTICE,MICHIGAN,MI,48042
2255536,Fqqqq,Offffffff,Bllllll,ED,ENDODONTICS,DEN,DENTISTRY,NORTH CAROLINA,NC,27103
604891,Vbbb,Qvvvvv,A,GP,GENERAL PRACTICE,N,NEUROLOGY,KENTUCKY,KY,42003
994781,Waaaaa,Oooooooo,E,DEN,DENTISTRY,,,NEW JERSEY,NJ,7461
21056125,Jccccc,Jaaaaaa,Hgggg,GE,GASTROENTEROLOGY,IM,INTERNAL MEDICINE,CALIFORNIA,CA,90033
319255,Lmmmmmm,Wnnnnnnn,W,FM,FAMILY MEDICINE,,,FLORIDA,FL,33458
306159,Seeeee,Smmmmmm,Z,DEN,DENTISTRY,,,NEW JERSEY,NJ,7003
34103927,Biiiii,Qddd,Cppppp,OBG,OBSTETRICS AND GYNECOLOGY,FPR,FEMALE PELVIC MED AND RECONSTRUCTIVE SRGRY,MINNESOTA,MN,56001
442196,Dzzzzzz,Looooo,Pmmm,OPT,OPTOMETRY,,,SOUTH CAROLINA,SC,29212
20817701,Lttttt,Ryyy,Hmmmmmmmmmmm,PM,PHYSICAL MEDICINE AND REHABILITATION,PMP,PAIN MANAGEMENT(PHYSICAL MED AND REHAB),PENNSYLVANIA,PA,19141
20648894,Qxxx,Fmmmmmm,Reeeee,FM,FAMILY MEDICINE,GP,GENERAL PRACTICE,MARYLAND,MD,21015
23122245,Zbbbb,Mqqqq,F,DEN,DENTISTRY,,,WISCONSIN,WI,53029
555426,Teeeeee,Hmmmmmmmmm,Oxxxxx,AN,ANESTHESIOLOGY,,,ARIZONA,AZ,85008
1398781,Zzzzzzzzz,Qmmmmm,Bff,PD,PEDIATRICS,,,OHIO,OH,44646
1462593,Bdddd,Muuuu,H,GP,GENERAL PRACTICE,FM,FAMILY MEDICINE,MICHIGAN,MI,49946
20026740,Annn,Gjjjjjj,Hhhhhhh,DEN,DENTISTRY,,,INDIANA,IN,47904
2088444,Wddd,Zeeee,Mrrrrr,DEN,DENTISTRY,,,MASSACHUSETTS,MA,1118
23120018,Fssssss,Lttttt,U,DEN,DENTISTRY,,,,,
23126148,Ovvvvvvv,Eyyyy,V,P,PSYCHIATRY,,,,,
421657,Wssss,Crrrr,Rhhhhhh,FM,FAMILY MEDICINE,,,PENNSYLVANIA,PA,15724
473914,Wqqqqq,Ciii,A,DEN,DENTISTRY,,,LOUISIANA,LA,70438
1696367,Rxxxxxx,Dyyyy,K,EM,EMERGENCY MEDICINE,PD,PEDIATRICS,PENNSYLVANIA,PA,15143
21021255,Yccccccc,Akkkk,  ,DEN,DENTISTRY,,,TEXAS,TX,77086
855784,Ynnnn,Siiiii,Onnn,DEN,DENTISTRY,VET,VETERINARY MEDICINE,MICHIGAN,MI,48442
1965246,Uyyyyy,Tqqqq,Shhhhhhh,DEN,DENTISTRY,GP,GENERAL PRACTICE,SOUTH CAROLINA,SC,29485
1962324,Mddd,Ujjjj,W,DEN,DENTISTRY,,,MASSACHUSETTS,MA,2747
681583,Udddd,Gtttttt,  ,FM,FAMILY MEDICINE,,,FLORIDA,FL,34471
796747,Sccccc,Gppppppppp,Zjjjjjj,DEN,DENTISTRY,,,MICHIGAN,MI,48346
19789170,Saaaaaa,Sbbbbbbbb,Bggg,FM,FAMILY MEDICINE,ADM,ADDICTION MEDICINE (FAMILY PRACTICE),MICHIGAN,MI,48226
2095896,Myyyyyy,Jhhhhh,Akkkk,GP,GENERAL PRACTICE,FM,FAMILY MEDICINE,,,
338034,Zwwwwww,Dfff,Snnnn,D,DERMATOLOGY,IM,INTERNAL MEDICINE,NEW YORK,NY,11740
2343623,Yrrrr,Mggggg,  ,PDE,PEDIATRIC ENDOCRINOLOGY,GP,GENERAL PRACTICE,CALIFORNIA,CA,90089
510529,Qxxxx,Uxxxx,Ylllllllllllll,IM,INTERNAL MEDICINE,HOS,HOSPITALIST,OHIO,OH,44124
1221187,Sggg,Saaaaaaaa,Tgggggg,VET,VETERINARY MEDICINE,,,,,
2346799,Qnnnnn,Taaaaaaaaaa,F,FM,FAMILY MEDICINE,FM,FAMILY MEDICINE,SOUTH CAROLINA,SC,29301
610539,Rjjjj,Zddddddd,Ikk,P,PSYCHIATRY,,,TENNESSEE,TN,37923
204034,Abbb,Huuuuu,Q,VET,VETERINARY MEDICINE,,,FLORIDA,FL,34653
19801754,Addd,Ypppppppp,S,VET,VETERINARY MEDICINE,,,WISCONSIN,WI,54016
21618860,Xxxxxxx,Asssss,Efff,GP,GENERAL PRACTICE,IM,INTERNAL MEDICINE,CALIFORNIA,CA,95053
24011525,Eiiii,Lzzzz,D,GP,GENERAL PRACTICE,,,WISCONSIN,WI,53405
370283,Vppp,Eooooooooo,Avvv,GP,GENERAL PRACTICE,,,,,
